etiqueta_duplicaDO,duplicados
"paspalum erianthumkrug, h.p.; costa, a.s.32631938",29765
"paspalum erianthumhoehne, f.c.; gehrt, a.s.n.1936",29767/63452
"paspalum erianthummimura, i.5581962",29734/29733/63442/63463
"paspalum erianthummattos, j.; mattos, n.83401960",29741/29742
"paspalum erianthummattos, j.; mattos, n.85001960",29744/29745
"paspalum erianthumjoly, a.b.5771947",29756/63435
"paspalum erianthummartius, c.f.p.s.n.na",29778/63430/63447/63449
"paspalum erianthumkeller, v.c.52016",63422
"paspalum erianthumloefgren, a.2221909",63420
"paspalum erianthumchase, a.106051930",29771/63413
"paspalum erianthumhopkins, m.28781961",29735
paspalum erianthumnas.n.na,29776/63426
"paspalum erianthumcampos, s.m.1131959",29749
"paspalum erianthumsello, h.l.s.n.na",63446
"paspalum erianthumsellow, f.s.n.na",63445/63448
"paspalum erianthumsouza, v.c.45281993",29725/63436/29727/63423/63443/29726/63431
"paspalum erianthumsouza, v.c.4528na",29777/63424
"paspalum exaltatumedwall, g.cgg38601898",30030/63718
"paspalum exaltatumclayton, w.d.46441965",30029/63715
"paspalum exaltatumclayton, w.d.; eiten, g.46441965",63717
"paspalum falcatumloefgren, a.2320na",29802
"paspalum falcatumloefgren, a.; edwall, g.2376na",29801
"paspalum falcatumchase, a.99281925",29794/63473/29795/63467
"paspalum falcatumjoly, a.b.s.n.1948",29787/63474
"paspalum falcatumbrade, a.c.81481915",63469
"paspalum falcatumbrade, a.c.122471932",63470
"paspalum falcatumhoehne, f.c.11601917",29797
"paspalum falcatumguillemin, j.b.a.560na",63483
"paspalum falcatumhoehne, f.c.s.n.1917",29796/63488
"paspalum falcatumhoehne, w.9491942",29791/63476/29790/63475
"paspalum falcatumjoly, a.b.6701948",29788/63477
"paspalum falcatumloefgren, a.cgg23201894",29800/63487
"paspalum falcatumwacket, m.s.n.1901",29799
"paspalum falcatumsouza, m.h.a.o.s.n.1977",63478/63479/63480/63481
"paspalum falcatumshirasuna, r.t.32842014",29782/63482/29783/63486
"paspalum falcatumshirasuna, r.t.22572009",29784/63485
"paspalum falcatumusteri, a.s.n.1907",29798/63489
"paspalum flaccidumhoehne, w.28601948",29807/63495/29806/63494
"paspalum flaccidumkuhlmann, j.g.s.n.1922",29809/63490
"paspalum flaccidumtannus, j.l.s.6442002",29804/63493
"paspalum flaccidumpickel, b.58191943",29808/63492
"paspalum flaccidumscaramuzza, c.a.m.8991993",29805/63491
"paspalum flaccidumusteri, a.s.n.1906",29810/63499
"paspalum glaucescenschase, a.107011930",29836
"paspalum glaucescenspickel, b.58921948",29820
"paspalum glaucescenspickel, b.51491941",29828/29827/63510/29826/63520
"paspalum glaucescenspickel, b.51581940",29835/63511
"paspalum glaucescenspickel, b.51581941",29829
"paspalum glaucescenspickel, b.54631941",29831
"paspalum glaucescenspickel, b.55571941",29834
"paspalum glaucescenspickel, b.55621941",29833/29832/63519
"paspalum glaucescensbrade, a.c.122481932",63501
"paspalum glaucescensgaudichaud-beaupré, c.s.n.1833",29837/29838/29839/63513/63515/63516
"paspalum glaucescensgaudichaud-beaupré, c.s.n.na",29840/63514
"paspalum glaucescenshoehne, w.29131948",29821/29824/63509/63526/29822/63521
"paspalum glaucescenshoehne, w.29141948",29823/63522
paspalum glaucescensna57901942,29825
"paspalum glaucescenspickel, b.54651941",29830/63525
"paspalum glaucescensbrade, a.c.12248na",63500
"paspalum glaucescensscaramuzza, c.a.m.; souza, v.c.s.n.1993",29813/29814/63503/63505
"paspalum glaucescensscaramuzza, c.a.m.11131993",29816/63502
"paspalum glaucescensscaramuzza, c.a.m.1136na",29841/63508
"paspalum glaucescenssouza, v.c.37171993",29818/63507/29815/63517
"paspalum glaucescenssouza, v.c.35971993",29819/63506
"paspalum glaucescenssouza, v.c.37341993",29817/63504
"paspalum glaucescenssouza, v.c.; miyagi, p.h.; souza, j.p.; nakagomi, m.y.73651994",63523
"paspalum glaucescenssouza, v.c.; scaramuzza, c.a.m.; shimabukuro, m.t.37171993",63524
"paspalum plenumaragaki, s.; kirizawa, m.; fortes, e.p.12502013",29974/63684/29973/63682
"paspalum plenumsendulsky, t.13391974",29987/29992/63661/63687/29989/29990/29991/29993/63662/63676/63680/63681/29988
"paspalum plenumsendulsky, t.13391979",29984/63658
"paspalum plenumskvortzov, b.v.2091964",29997/63679/63686
"paspalum plenumsilva, t.s.d.1601974",29994/63657
"paspalum plenumsilva, t.s.1601974",29995/63667
"paspalum plenumsilva, t.s.2341976",29986/63666/29985/63673
"paspalum repandumputtemans, a.s.n.1902",30339/63728
"paspalum usteriiusteri, a.97631907",29860/29861/29862/63527/63535/63536/29858/29859/63533/63534
"paspalum usteriiholway, e.w.d.; holway, m.m.15531922",29854
"paspalum usteriiholway, e.w.d.; holway, m.m.16411922",29856
"paspalum usteriiholway, e.w.d.; holway, m.m.16761922",29855
"paspalum usteriihoehne, w.31081949",29852/63538
"paspalum usteriikeller, v.c.42016",63528
paspalum usteriina25131937,29853
"paspalum usteriisendulsky, t.13641974",29844/29849/63532/63543/29846/29847/29848/29850/63530/63540/63541/63542/29845
"paspalum usteriisendulsky, t.13641999",29842/63529
"paspalum usteriiusteri, a.s.n.1907",29857/29863/63539/63544
"paspalum usteriihoehne, w.30181949",29851/63537
"polypogon chilensisgehrt, a.81761922",30012
"polypogon chilensisgehrt, a.s.n.1922",30011/63698
"polypogon chilensistannus, j.l.s.10842006",30010/63697
"polypogon imberbisshirasuna, r.t.; morse, f.21962009",30014/63699/30015/63700
"polypogon imberbisshirasuna, r.t.23202009",30016/63701
"polypogon imberbisshirasuna, r.t.23952009",30017/63702
"polypogon imberbisshirasuna, r.t.30092011",30013/63703
"raddiella esenbeckiiloefgren, a.46801909",29864/63547
"raddiella esenbeckiiburchell, w.j.4317na",29866
"raddiella esenbeckiiburchell, w.j.s.n.na",63546
"raddiella esenbeckiiloefgren, a.s.n.1909",29865/63545
"reimarochloa acutarodrigues, m.e.f.; macedo, c.c.l.; hirata, r.t.506-a2008",29925/63626
"reimarochloa acutashirasuna, r.t.; shirasuna, m.i.29182010",29924/63625
"schizachyrium scabriflorumunknown, c.423421940",30366
"schizachyrium scabriflorumhoehne, w.30361949",30359/63748
"schizachyrium scabriflorumhoehne, w.30551949",30362/30361/63747/63751/30360/63749
"schizachyrium scabriflorumhoehne, w.s.n.1949",30363/30364/63752/63754
"schizachyrium scabriflorumriedel, l.2136na",63750
"schizachyrium tenerumlund, p.w.s.n.1834",63566
schizachyrium tenerum?s.n.na,63582
"schizachyrium tenerumchase, a.98711925",29900
"schizachyrium tenerumchase, a.98971925",29901
"schizachyrium tenerumchase, a.99051925",29902
"schizachyrium tenerumusteri, a.96081908",63548
"schizachyrium tenerumusteri, a.96321908",29904
"schizachyrium tenerumpickel, b.53081941",29899/29898/63561
"schizachyrium tenerumpickel, b.53091941",63564/63557
"schizachyrium tenerumbrade, a.c.s.n.1913",63602
"schizachyrium tenerumhandro, o.871949",63606
"schizachyrium tenerumhell, k.g.s.n.1968",29882/63612
"schizachyrium tenerumhueck, k.s.n.1957",29885/29886/63596/63608
"schizachyrium tenerumhoehne, w.30291949",63568
"schizachyrium tenerumhoehne, w.30371949",29891/29892/63567/63600/29890/63576
"schizachyrium tenerumhoehne, w.31001949",29893/29894/63572/63598
"schizachyrium tenerumkeller, v.c.732017",63551
"schizachyrium tenerumlangsdorff, g.h.s.n.na",63583/63579/63584
"schizachyrium tenerumlonghi-wagner, h.m.; zanin, a.30721996",29873/29869/29874/63592/29870/63563
"schizachyrium tenerumlonghi-wagner, h.; zanin, a.30721996",63578
"schizachyrium tenerumlonghi-wagner, h.m.; zanin, a.31431996",29872/29876/63594
"schizachyrium tenerumlonghi-wagner, h.; zanin, a.31431996",63577
"schizachyrium tenerumlonghi-wagner, h.; zanin, a.; zanin, a.30721996",63558
"schizachyrium tenerumlonghi-wagner, h.m.31431996",29871/63573
"schizachyrium tenerumlonghi-wagner, h.m.; zanin, a.31091996",29877/63593
"schizachyrium tenerumlonghi-wagner, h.m.; zanin, a.31841996",29875/63595
"schizachyrium tenerumlund, p.w.s.n.na",63586/63589/63590
schizachyrium tenerumna58061942,29896
"schizachyrium tenerumpickel, b.58061942",29895/63559
"schizachyrium tenerumriedel, l.s.n.na",63580/63581/63585/63587/63588/63591
"schizachyrium tenerumscaramuzza, c.a.m.; godon, m.410na",29908/63554
"schizachyrium tenerumscaramuzza, c.a.m.; godon, m.411na",29909/63553
"schizachyrium tenerumscaramuzza, c.a.m.705na",29910/63555
"schizachyrium tenerumsegadas-vianna, f.3017-a1951",29889
"schizachyrium tenerumsemir, j.s.n.1968",29879/29880/29881/63569/63570/63571
"schizachyrium tenerumshirasuna, r.t.32892014",29867/63609
"schizachyrium tenerumsouza, v.c.24771993",29878/63556
"schizachyrium tenerumsouza, v.c.38831993",63552
"schizachyrium tenerumusteri, a.s.n.1906",29905/63611
"schizachyrium tenerumusteri, a.s.n.1908",29903/63599/63605
"schizachyrium tenerumclayton, w.d.4567na",29911
"schizachyrium tenerumburchell, w.j.44121827",29906/63550
"setaria parviflora var. pilosissimarabello, s.; barbosa, j.7361908",30302/30303
"setaria parviflora var. pilosissimaloefgren, a.1167na",30333
"setaria parviflora var. pilosissimaloefgren, a.2367na",30336
"setaria parviflora var. pilosissimaloefgren, a.38461909",30301
"setaria parviflora var. pilosissimaloefgren, a.; edwall, g.2110na",30328
setaria parviflora var. pilosissima?s.n.1968,30156
"setaria parviflora var. pilosissimasampaio, a.j.43511926",30297
"setaria parviflora var. pilosissimausteri, a.61907",30308
"setaria parviflora var. pilosissimausteri, a.27-a1905",30314
"setaria parviflora var. pilosissimaskvortzov, b.v.91962",30210/30203/30208
"setaria parviflora var. pilosissimaskvortzov, b.v.371962",30211/30202/30206
"setaria parviflora var. pilosissimaskvortzov, b.v.381962",30209/30204/30205/30207
"setaria parviflora var. pilosissimaskvortzov, b.v.961962",30219/30212/30216
"setaria parviflora var. pilosissimaskvortzov, b.v.971962",30220/30213/30215
"setaria parviflora var. pilosissimaskvortzov, b.v.991962",30221/30214
"setaria parviflora var. pilosissimaskvortzov, b.v.1231963",30201
"setaria parviflora var. pilosissimaskvortzov, b.v.1831963",30199/30198/30197/30200
"setaria parviflora var. pilosissimaskvortzov, b.v.3221964",30191/30189/30190
"setaria parviflora var. pilosissimabarreto, k.d.; fernandes, g.d.; fernandes, r.d.33271994",30080
"setaria parviflora var. pilosissimabarreto, k.d.33271994",30079
"setaria parviflora var. pilosissimafreire, c.; azevedo, c.o.1181925",30298
"setaria parviflora var. pilosissimadavidse, g.; d'arcy, w.g.104771976",30128
"setaria parviflora var. pilosissimaeiten, g.15791959",30249/30246
"setaria parviflora var. pilosissimaeiten, g.15891959",30248/30247
"setaria parviflora var. pilosissimaeiten, g.; eiten, l.t.62371965",30183/30185/30186/30184
"setaria parviflora var. pilosissimaeiten, g.; sendullsky, t.28861961",30226
"setaria parviflora var. pilosissimahoehne, f.c.317091934",30290
"setaria parviflora var. pilosissimafaria, r.101965",30187/30188
"setaria parviflora var. pilosissimafreitas, l.6351999",30057/30059
"setaria parviflora var. pilosissimaeiten, g.; eiten, l.t.26651961",30225/30223
"setaria parviflora var. pilosissimaeiten, g.; sendulsky, t.28861961",30228/30227
"setaria parviflora var. pilosissimagarbin, g.12009",30039/30038
"setaria parviflora var. pilosissimadavidse, g.104771976",30127
"setaria parviflora var. pilosissimagibbs, p.e.; leitão filho, h.f.; semir, j.16891976",30126
"setaria parviflora var. pilosissimakrug, h.p.42181938",30280
"setaria parviflora var. pilosissimaleitão filho, h.f.; aranha, c.s.n.1968",30159
"setaria parviflora var. pilosissimahandro, o.1141949",30257/63719
"setaria parviflora var. pilosissimahell, k.g.22701968",30157
"setaria parviflora var. pilosissimahoehne, f.c.s.n.1934",30289
"setaria parviflora var. pilosissimahoehne, w.991932",30294/30295
"setaria parviflora var. pilosissimahoehne, w.26111948",30259
"setaria parviflora var. pilosissimahoehne, w.28211948",30260
"setaria parviflora var. pilosissimahoehne, w.28761948",30261
"setaria parviflora var. pilosissimahoehne, w.s.n.1932",30293
"setaria parviflora var. pilosissimahoehne, w.s.n.1933",30292
"setaria parviflora var. pilosissimahonda, s.; garcia, r.j.f.; souza, e.m.; torre, e.o.; pereira, o.4502008",30043
"setaria parviflora var. pilosissimagottsberger, i.s.1030816571-r1971",30151
"setaria parviflora var. pilosissimadelistoianov, j.s.n.1960",30231
"setaria parviflora var. pilosissimadesloudes, j.s.n.1929",30296
"setaria parviflora var. pilosissimamattos, j.; mattos, n.85371960",30244
"setaria parviflora var. pilosissimamattos, j.; mattos, n.85521960",30243
"setaria parviflora var. pilosissimamattos, j.r.; mattos, n.85521960",30245
"setaria parviflora var. pilosissimarombouts, j.e.27291938",30270/30268
"setaria parviflora var. pilosissimasantoro, j.9891937",30284
"setaria parviflora var. pilosissimabaitello, j.b.11172002",30055
"setaria parviflora var. pilosissimazamith, j.r.s.s.n.1936",30285
"setaria parviflora var. pilosissimatannus, j.l.s.10562005",30052
"setaria parviflora var. pilosissimajoly, a.b.3651947",30263
"setaria parviflora var. pilosissimajoly, a.b.3861947",30262
"setaria parviflora var. pilosissimamizoguchi, k.15701981",30107
"setaria parviflora var. pilosissimaklein, r.m.102631972",30149
"setaria parviflora var. pilosissimaklein, r.m.107721973",30138
"setaria parviflora var. pilosissimaklein, r.m.107821973",30137/30140
"setaria parviflora var. pilosissimakuhlmann, m.22861950",30256/30255
"setaria parviflora var. pilosissimakuhlmann, m.s.n.1934",30291
"setaria parviflora var. pilosissimakuhlmann, m.s.n.1957",30250
"setaria parviflora var. pilosissimakuhlmann, m.; jimbo, s.s.n.1984",30100
"setaria parviflora var. pilosissimaleitão filho, h.f.; rodrigues, r.r.332651995",30069
"setaria parviflora var. pilosissimaloefgren, a.cgg23671894",30315
"setaria parviflora var. pilosissimaloefgren, a.2171907",30306
"setaria parviflora var. pilosissimalonghi-wagner, h.m.33251996",30066/30064
"setaria parviflora var. pilosissimalonghi-wagner, h.m.; boechat, s.c.; araújo, a.c.33251996",30063
"setaria parviflora var. pilosissimalonghi-wagner, h.m.; r, m.-s.-87802003",30054
"setaria parviflora var. pilosissimaluederwaldt, h.s.n.1910",30300
"setaria parviflora var. pilosissimaluederwaldt, h.s.n.na",30324
"setaria parviflora var. pilosissimakuhlmann, m.2286na",30334
"setaria parviflora var. pilosissimarosa, n.a.38341980",30120
setaria parviflora var. pilosissimana58151942,30265
"setaria parviflora var. pilosissimaoliveira, r.r.241na",30318
"setaria parviflora var. pilosissimapelegrino, k.o.s.n.2004",30053
"setaria parviflora var. pilosissimapickel, b.58151942",30264
"setaria parviflora var. pilosissimagarcia, r.j.f.; teixeira, v.a.s.24162005",30051
"setaria parviflora var. pilosissimariedel, l.1797na",30329
"setaria parviflora var. pilosissimarodrigues, m.e.f.3262007",30049
"setaria parviflora var. pilosissimarodrigues, m.e.f.5012008",30046
"setaria parviflora var. pilosissimarodrigues, m.e.f.5062008",30047
"setaria parviflora var. pilosissimarodrigues, m.e.f.s.n.2008",30045
"setaria parviflora var. pilosissimarodrigues, m.e.f.; macedo, c.c.l.; hirata, r.t.5012008",30044
"setaria parviflora var. pilosissimarodrigues, r.s.s.n.2014",30034
"setaria parviflora var. pilosissimarodrigues, r.s.; filgueiras, t.s.; kawakita, k.3112013",30035
"setaria parviflora var. pilosissimarodrigues, r.s.; pastore, m.412009",30042
"setaria parviflora var. pilosissimarodrigues, r.s.; pastore, m.472009",30041
"setaria parviflora var. pilosissimarosa, n.a.; pires, j.m.38341980",30119
"setaria parviflora var. pilosissimarosa, n.a.; murça pires, j.38341980",30121
setaria parviflora var. pilosissimas/col.s.n.1953,30254
setaria parviflora var. pilosissimas/col.s.n.na,30317
"setaria parviflora var. pilosissimasantos, j.n.c.91967",30160
"setaria parviflora var. pilosissimascaramuzza, c.a.m.; souza, v.c.2071989",30093
"setaria parviflora var. pilosissimascaramuzza, c.a.m.; souza, v.c.s.n.1993",30081/30082/30083
"setaria parviflora var. pilosissimascudeler, a.l.; cabral, l.m.822014",30033
"setaria parviflora var. pilosissimasendulsky, t.7531967",30162/30163
"setaria parviflora var. pilosissimasendulsky, t.11851972",30142/30144
"setaria parviflora var. pilosissimasendulsky, t.11861972",30141/30143
"setaria parviflora var. pilosissimasendulsky, t.911963",30193/30194
"setaria parviflora var. pilosissimasendulsky, t.7431967",30169/30165/30166/30167/30168/30164
"setaria parviflora var. pilosissimasendulsky, t.10411970",30152/30153
"setaria parviflora var. pilosissimasendulsky, t.10621970",30154
"setaria parviflora var. pilosissimasendulsky, t.10911970",30155
"setaria parviflora var. pilosissimasendulsky, t.11841972",30145/30146
"setaria parviflora var. pilosissimasendulsky, t.12181972",30147
"setaria parviflora var. pilosissimasendulsky, t.12791973",30139
"setaria parviflora var. pilosissimasilva, t.s.2151975",30132/30134
"setaria parviflora var. pilosissimasouza, m.h.a.o.s.n.1977",30125
"setaria parviflora var. pilosissimasouza, v.c.24731993",30085/30084
"setaria parviflora var. pilosissimasilva, t.s.d.2151975",30133
"setaria parviflora var. pilosissimasendulsky, t.101963",30196
"setaria parviflora var. pilosissimasendulsky, t.1511965",30182
"setaria parviflora var. pilosissimausteri, a.s.n.1905",30312/30313
"setaria parviflora var. pilosissimausteri, a.s.n.1906",30311
"setaria parviflora var. pilosissimausteri, a.s.n.1907",30305/30304/30307/30309/30310
setaria parviflora var. pilosissimaviegas33681938,30277
"setaria parviflora var. pilosissimaclayton, w.d.4087na",30330
"setaria parviflora var. pilosissimaclayton, w.d.4122na",30337
"setaria parviflora var. pilosissimaclayton, w.d.4171na",30326
"setaria parviflora var. pilosissimaclayton, w.d.4529na",30327
"setaria parviflora var. pilosissimaclayton, w.d.4555na",30332
"setaria parviflora var. pilosissimaclayton, w.d.4621na",30335
"setaria parviflora var. pilosissimaclayton, w.d.; eiten, g.4748na",30331
"setaria parviflora var. pilosissimazamith, j.r.s.461936",30286
"setaria parviflora var. pilosissimazanin, a.7961999",30060
"setaria tenacissimashirasuna, r.t.37182014",63613/63614
"setaria tenacissimausteri, a.s.n.1907",63615
"sporobolus apiculatusleitão filho, h.f.8031969",30001/63688
"steinchisma spathellosumusteri, a.s.n.1906",29912/63616
"zizaniopsis microstachyakuhlmann, m.31061954",29913/63617
"podocarpus lambertiinetto, a.a.s.n.1905",30447/63815
