especie_original,fontes,cat_ameaca_br_sima,cat_ameaca_cncflora_sima,cat_ameaca_sp_sima,cat_ameaca_sp,cat_ameaca_CR_lac,cat_ameaca_cncflora,cat_ameaca_iucn,cat_ameaca_mpoSP,cat_ameaca_br
Miconia robustissima,SP_oficial-cncflora_web,NA,NA,NA,EN,NA,LC,NA,NA,NA
Miconia rubiginosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia sclerophylla,sima-SP_oficial,NA,NA,EN,EN,NA,NA,NA,NA,NA
Miconia sellowiana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia serrulata,sima-SP_oficial-UICN_API,NA,NA,VU,VU,NA,NA,LC,NA,NA
Miconia setosociliata,sima-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,NA,NA,NA,NT,NT,NA,VU
Miconia shepherdii,sima-SP_oficial-cncflora_ckan,NA,NA,EN,EN,NA,LC,NA,NA,NA
Miconia stenostachya,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia suberosa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Miconia tentaculifera,sima-SP_oficial-cncflora_ckan-UICN_API,NA,NA,VU,VU,NA,NT,NT,NA,NA
Miconia trianae,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia urophylla,sima-SP_oficial-cncflora_ckan-UICN_API,NA,NA,VU,VU,NA,LC,LC,NA,NA
Miconia valtheri,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Miconia warmingiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Miconia weddellii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Miconia willdenowii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Micrandra elata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Micranthemum umbrosum,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Micranthocereus albicephalus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Micranthocereus auriazureus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Micranthocereus dolichospermaticus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Micranthocereus polyanthus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Micranthocereus streckeri,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Micranthocereus violaciflorus,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microchilus arietinus,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Microgramma crispata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Microlicia canastrensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microlicia cardiophora,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Microlicia cuspidifolia,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Microlicia doryphylla,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Microlicia elegans,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Microlicia fasciculata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Microlicia flava,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microlicia glazioviana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microlicia humilis,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Microlicia juniperina,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Microlicia macedoi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microlicia melanostagma,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Microlicia microphylla,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Microlicia myrtifolia,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microlicia myrtoidea,sima-SP_oficial-cncflora_web,NA,NT,VU,VU,NA,NT,NA,NA,NA
Microlicia obtusifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microlicia psammophila,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Micropholis caudata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Micropholis crassipedicellata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/cd,NA,NA
Micropholis emarginata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Micropholis grandiflora,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Micropholis retusa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Micropholis splendens,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microstachys corniculata,sima,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microtea bahiensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Microtea maypurensis,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Microtea papilosa,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Microtea scabrida,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miersiella umbellata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Mikania additicia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania alvimii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania anethifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania argyreiae,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Mikania biformis,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mikania bradei,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Mikania capricorni,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mikania chlorolepis,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mikania cipoensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania clematidifolia,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Mikania decumbens,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mikania dusenii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Mikania firmula,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Mikania glabra,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania glauca,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania glomerata,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Mikania hartbergii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania hastato-cordata,sima-cncflora_web-Portaria 443/2014,VU,NA,NA,NA,NA,VU,NA,NA,VU
Mikania hemisphaerica,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania itambana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania lindbergii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania lindleyana,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania malacolepis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mikania microdonta,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania microptera,sima-cncflora_web,NA,NT,NA,NA,NA,NT,NA,NA,NA
Mikania mosenii,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mikania neurocaula,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania oblongifolia,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania oreophila,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Mikania pinnatiloba,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania premnifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania rufescens,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mikania smaragdina,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mikania stenomeres,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Mikania ternata,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania trinervis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania ulei,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mikania variifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania viminea,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mikania warmingii,sima-cncflora_web-Portaria 443/2014,EN,NA,NA,NA,NA,EN,NA,NA,EN
Miltonia clowesii,sima-SP_oficial-cncflora_web,NA,NT,EX,EX,NA,NT,NA,NA,NA
Miltonia cuneata,sima,NA,NT,NA,NA,NA,NA,NA,NA,NA
Miltonia flavescens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miltonia kayasimae,sima-SP_oficial-Portaria 443/2014,CR,NA,EX,EX,NA,NA,NA,NA,CR
Miltonia regnellii,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Miltonia spectabilis,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Mimosa acroconica,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa acutistipula,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa adamantina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa balduinii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa barretoi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa bathyrrhena,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa bimucronata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa bombycina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa brevipetiolata,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
Mimosa catharinensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa chrysastra,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Mimosa cubatanensis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,NT,NT,NA,NA
Mimosa dolens,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa elliptica,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
Mimosa exalbescens,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa foliolosa,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa furfuracea,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa glycyrrhizoides,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa gracilis,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa hatschbachii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa heringeri,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa humifusa,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa involucrata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa lanata,sima-cncflora_web,NA,DD,NA,NA,NA,DD,NA,NA,NA
Mimosa laticifera,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Mimosa leprosa,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa leptantha,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa lithoreas,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa macedoana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa mensicola,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa montis-carasae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa myuros,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,VU,VU,NA,EN,EN,NA,VU
Mimosa niomarlei,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa nuda,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa orthacantha,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
Mimosa pabstiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mimosa paucifolia,sima-SP_oficial-Portaria 443/2014,VU,NA,VU,VU,NA,NA,NA,NA,VU
Mimosa psittacina,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa pudica,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa sanguinolenta,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Mimosa selloi,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mimosa skinneri,sima,CR,NA,NA,NA,NA,NA,NA,NA,NA
Mimosa strobiliflora,sima,NA,CR,NA,NA,NA,NA,NA,NA,NA
Mimosa suburbana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Mimosa thomista,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa uniceps,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa urticaria,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mimosa xanthocentra,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Minaria abortiva,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Minaria acerosa,sima-cncflora_web,NA,LC,NA,NA,NA,LC,NA,NA,NA
Minaria bifurcata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Minaria diamantinensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Minaria grazielae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minaria harleyi,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minaria hemipogonoides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Minaria inconspicua,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minaria lourteigiae,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Minaria magisteriana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minaria monocoronata,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Minaria polygaloides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minaria refractifolia,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Minaria semirii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minaria volubilis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minasia alpestris,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minasia pereirae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Minasia scapigera,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mitracarpus anthospermoides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mitracarpus eritrichoides,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mitracarpus rigidifolius,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Moldenhawera intermedia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Moldenhawera papillanthera,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Mollia macrophylla,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mollinedia argyrogyna,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/nt,NA,NA
Mollinedia blumenaviana,cncflora_web,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mollinedia boracensis,cncflora_ckan,NA,NA,NA,NA,NA,NT,NA,NA,NA
Mollinedia clavigera,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mollinedia elegans,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mollinedia engleriana,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Mollinedia eugeniifolia,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mollinedia gilgiana,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,CR,NA,NA
Mollinedia longicuspidata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Mollinedia luizae,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,VU,VU,NA,DD,DD,NA,VU
Mollinedia oligantha,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mollinedia oligotricha,SP_oficial,NA,NA,NA,EX,NA,NA,NA,NA,NA
Mollinedia ovata,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Mollinedia pachysandra,SP_oficial-cncflora_web,NA,NA,NA,VU,NA,LC,NA,NA,NA
Mollinedia salicifolia,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Mollinedia schottiana,sima-UICN_API,NA,NA,EX,NA,NA,NA,LC,NA,NA
Mollinedia triflora,sima-UICN_API,NA,DD,NA,NA,NA,NA,LC,NA,NA
Mollinedia uleana,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mollinedia widgrenii,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Monogereion carajensis,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Monsanima morrenioides,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Monteiroa bullata,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Monteiroa smithii,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Monteverdia ardisiifolia,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Monteverdia basidentata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Monteverdia brasiliensis,sima,NA,LC,CR,NA,NA,NA,NA,NA,NA
Monteverdia cestrifolia,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Monteverdia comocladiiformis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Monteverdia glaucescens,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Monteverdia gonoclada,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Monteverdia littoralis,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Monteverdia radlkoferiana,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Moquiniastrum argyreum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Moquiniastrum cinereum,sima,NA,LC,NA,NA,NA,NA,NA,NA,NA
Moquiniastrum cordatum,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Moquiniastrum hatschbachii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Moquiniastrum mollissimum,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Moquiniastrum polymorphum,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Moquiniastrum ramboi,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Moquiniastrum sordidum,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Moranopteris perpusilla,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Morilloa furlanii,sima,EN,NA,NA,NA,NA,NA,NA,NA,NA
Mormolyca cleistogama,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Moronobea coccinea,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mostuea muricata,sima-SP_oficial-cncflora_web-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Mourera weddelliana,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Mouriri chamissoana,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Mouriri megasperma,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Mouriri micradenia,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Mouriri myrtilloides,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Mouriri torquata,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Muellera filipes,cncflora_ckan,NA,NA,NA,NA,NA,VU,NA,NA,NA
Muellera torrensis,sima,NA,DD,NA,NA,NA,NA,NA,NA,NA
Myoxanthus ruschii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Myoxanthus seidelii,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Myracrodruon balansae,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Myracrodruon urundeuva,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Myrceugenia acutata,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Myrceugenia acutiflora,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Myrceugenia alpigena,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Myrceugenia bracteosa,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,EN,VU,NA,EN
Myrceugenia brevipedicellata,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,EN,VU,NA,EN
Myrceugenia campestris,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Myrceugenia cucullata,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,LC,NA,NA
Myrceugenia euosma,sima-SP_oficial-cncflora_ckan,NA,NA,EX,EX,NA,LC,NA,NA,NA
Myrceugenia foveolata,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Myrceugenia franciscensis,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,VU,VU,NA,EN
Myrceugenia gertii,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,EN,NA,EN,EN,NA,EN,EN,NA,EN
Myrceugenia glaucescens,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Myrceugenia hamoniana,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Myrceugenia hatschbachii,sima-Portaria 443/2014,VU,NA,NA,NA,NA,NA,NA,NA,VU
Myrceugenia hoehnei,sima-SP_oficial-cncflora_ckan-Portaria 443/2014,VU,NA,VU,VU,NA,VU,NA,NA,VU
Myrceugenia kleinii,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,VU,VU,NA,VU,VU,NA,VU
Myrceugenia miersiana,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/nt,NA,NA
Myrceugenia myrcioides,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,LR/nt,NA,NA
Myrceugenia ovalifolia,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrceugenia ovata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrceugenia oxysepala,cncflora_web,NA,NA,NA,NA,NA,LC,NA,NA,NA
Myrceugenia pilotantha,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Myrceugenia reitzii,cncflora_ckan,NA,NA,NA,NA,NA,NT,NA,NA,NA
Myrceugenia rufescens,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Myrceugenia scutellata,sima-cncflora_ckan-UICN_API,NA,NT,NA,NA,NA,NT,VU,NA,NA
Myrceugenia smithii,cncflora_web,NA,NA,NA,NA,NA,EN,NA,NA,NA
Myrceugenia venosa,sima-SP_oficial-cncflora_web,NA,LC,VU,VU,NA,LC,NA,NA,NA
Myrcia aethusa,UICN_API,NA,NA,NA,NA,NA,NA,VU,NA,NA
Myrcia almasensis,sima-Portaria 443/2014,EN,NA,NA,NA,NA,NA,NA,NA,EN
Myrcia amazonica,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrcia anacardiifolia,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Myrcia anomala,sima-SP_oficial,NA,NA,EX,EX,NA,NA,NA,NA,NA
Myrcia bella,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrcia bicarinata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrcia bicolor,sima-SP_oficial-UICN_API-mpoSP,NA,NA,EN,EN,NA,NA,VU,EN,NA
Myrcia cionei,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Myrcia coelosepala,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrcia congestiflora,sima-SP_oficial-cncflora_ckan,NA,NA,VU,VU,NA,VU,NA,NA,NA
Myrcia cordiifolia,sima-SP_oficial,NA,LC,EX,EX,NA,NA,NA,NA,NA
Myrcia costeira,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrcia diaphana,sima-SP_oficial-cncflora_ckan-UICN_API-Portaria 443/2014,VU,NA,VU,VU,NA,NT,VU,NA,VU
Myrcia dichrophylla,cncflora_web-UICN_API,NA,NA,NA,NA,NA,LC,VU,NA,NA
Myrcia dryadica,UICN_API,NA,NA,NA,NA,NA,NA,VU,NA,NA
Myrcia eriocalyx,sima-SP_oficial,NA,NA,VU,VU,NA,NA,NA,NA,NA
Myrcia eriopus,sima-SP_oficial-cncflora_web-mpoSP,NA,LC,VU,VU,NA,LC,NA,VU,NA
Myrcia eugeniopsoides,cncflora_ckan,NA,NA,NA,NA,NA,LC,NA,NA,NA
Myrcia excoriata,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
Myrcia ferruginosa,cncflora_ckan-UICN_API,NA,NA,NA,NA,NA,LC,EN,NA,NA
Myrcia flagellaris,sima-SP_oficial-cncflora_web-mpoSP,NA,NT,VU,VU,NA,NT,NA,VU,NA
Myrcia follii,cncflora_web-Portaria 443/2014,NA,NA,NA,NA,NA,CR,NA,NA,CR
Myrcia gilsoniana,sima-Portaria 443/2014,CR,NA,NA,NA,NA,NA,NA,NA,CR
Myrcia glabra,UICN_API,NA,NA,NA,NA,NA,NA,NT,NA,NA
Myrcia grammica,UICN_API,NA,NA,NA,NA,NA,NA,LC,NA,NA
